Player,Year,Pos,Age,G,MP,PTS,TRB,AST
Mo Bamba,2019,C,20,47,16.3,6.2,5.0,0.8
Nikola VuÄeviÄ‡,2019,C,28,80,31.4,20.8,12.0,3.8
Terrence Ross,2019,SG,27,81,26.5,15.1,3.5,1.7
Troy Caupain,2019,PG,23,4,4.0,2.5,0.8,1.0
Wes Iwundu,2019,SF,24,68,18.1,5.0,2.7,1.1
Aaron Gordon,2020,PF,24,62,32.5,14.4,7.7,3.7
Al-Farouq Aminu,2020,PF,29,18,21.1,4.3,4.8,1.2
Amile Jefferson,2020,PF,26,18,4.1,0.8,1.3,0.2
B.J. Johnson,2020,SF,24,10,8.3,3.0,1.5,0.3
D.J. Augustin,2020,PG,32,57,24.9,10.5,2.1,4.6
Evan Fournier,2020,SF,27,66,31.5,18.5,2.6,3.2
Gary Clark,2020,SF-PF,25,42,13.5,3.7,2.6,0.4
James Ennis III,2020,SF-SG,29,69,18.3,6.6,3.6,0.9
Jonathan Isaac,2020,PF,22,34,28.8,11.9,6.8,1.4
Josh Magette,2020,PG,30,8,4.8,1.5,0.8,0.6
Khem Birch,2020,C,27,48,19.2,4.4,4.6,1.0
Markelle Fultz,2020,PG,21,72,27.7,12.1,3.3,5.1
Melvin Frazier,2020,SG,23,19,6.6,2.1,0.5,0.2
Michael Carter-Williams,2020,SG,28,45,18.5,7.2,3.3,2.4
Mo Bamba,2020,C,21,62,14.2,5.4,4.9,0.7
Nikola VuÄeviÄ‡,2020,C,29,62,32.2,19.6,10.9,3.6
Terrence Ross,2020,SG,28,69,27.4,14.7,3.2,1.2
Vic Law,2020,PF,24,8,7.8,1.9,1.4,0.4
Wes Iwundu,2020,SF,25,52,18.3,5.8,2.5,1.2
Aaron Gordon,2021,PF,25,50,27.7,12.4,5.7,3.2
Austin Rivers,2021,SG,28,36,23.5,7.9,2.3,2.3
Bol Bol,2021,PF,21,32,5.0,2.2,0.8,0.2
Facundo Campazzo,2021,PG,29,65,21.9,6.1,2.1,3.6
Greg Whittington,2021,PF,27,4,3.0,0.0,0.0,0.0
JaMychal Green,2021,PF,30,58,19.3,8.1,4.8,0.9
JaVale McGee,2021,C,33,46,14.7,7.3,5.2,0.8
Jamal Murray,2021,PG,23,48,35.5,21.2,4.0,4.8
Markus Howard,2021,SG,21,37,5.5,2.8,0.6,0.5
Michael Porter Jr.,2021,SF,22,61,31.3,19.0,7.3,1.1
Monte Morris,2021,PG,25,47,25.4,10.2,2.0,3.2
Nikola JokiÄ‡,2021,C,25,72,34.6,26.4,10.8,8.3
PJ Dozier,2021,SG,24,50,21.8,7.7,3.6,1.8
Paul Millsap,2021,PF,35,56,20.8,9.0,4.7,1.8
Shaquille Harrison,2021,SG,27,34,9.8,2.1,1.4,0.7
Vlatko ÄŒanÄar,2021,PF,23,41,6.9,2.1,1.2,0.3
Will Barton,2021,SF,30,56,31.0,12.7,4.0,3.2
Zeke Nnaji,2021,PF,20,42,9.5,3.2,1.5,0.2
Aaron Gordon,2022,PF,26,75,31.7,15.0,5.9,2.5
Austin Rivers,2022,SG,29,67,22.1,6.0,1.7,1.3
Bol Bol,2022,PF,22,14,5.8,2.4,1.4,0.4
Bones Hyland,2022,SG,21,69,19.0,10.1,2.7,2.8
